"","top_station","lon","lat"
"1","San Francisco Caltrain (Townsend at 4th)",-122.3952374,37.7766168
"2","Harry Bridges Plaza (Ferry Building)",-122.3942498,37.7953363
"3","Embarcadero at Sansome",-122.403316,37.804783
"4","San Francisco Caltrain 2 (330 Townsend)",-122.39546,37.77661
"5","2nd at Townsend",-122.390288,37.780526
"6","Market at Sansome",-122.4006964,37.7897277
"7","Temporary Transbay Terminal (Howard at Beale)",-122.3927,37.78993
"8","Steuart at Market",-122.394405,37.7940682
"9","Townsend at 7th",-122.402717,37.771058
"10","Market at 4th",-122.404966,37.786305
"11","Market at 10th",-122.417291,37.776566
"12","Powell Street BART",-122.408433,37.783871
"13","2nd at South Park",-122.392738,37.782259
"14","Beale at Market",-122.3970628,37.792244
"15","Embarcadero at Bryant",-122.3880916,37.7873281
"16","Embarcadero at Folsom",-122.3909776,37.7915154
"17","South Van Ness at Market",-122.419049,37.774887
"18","Civic Center BART (7th at Market)",-122.412919,37.780356
"19","Yerba Buena Center of the Arts (3rd @ Howard)",-122.401283,37.785826
"20","Howard at 2nd",-122.3974936,37.7874903
